name,pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,talkid,fullurl,editurl,canonicalurl,watchers,missing,redirect,new,revision_id,article_quality,url,country,Geography,Population
'Abd al-Razzaq al-Hasani,34742655.0,0.0,'Abd al-Razzaq al-Hasani,wikitext,en,en,ltr,2024-10-11T00:24:45Z,1238643436,2968.0,36100085.0,https://en.wikipedia.org/wiki/%27Abd_al-Razzaq_al-Hasani,https://en.wikipedia.org/w/index.php?title=%27Abd_al-Razzaq_al-Hasani&action=edit,https://en.wikipedia.org/wiki/%27Abd_al-Razzaq_al-Hasani,,,,,1238643436,Start,https://en.wikipedia.org/wiki/'Abd_al-Razzaq_al-Hasani,Iraq,Iraq,45.5
8th National Assembly of Slovenia,57710979.0,0.0,8th National Assembly of Slovenia,wikitext,en,en,ltr,2024-10-11T19:12:12Z,1249160149,101124.0,57904117.0,https://en.wikipedia.org/wiki/8th_National_Assembly_of_Slovenia,https://en.wikipedia.org/w/index.php?title=8th_National_Assembly_of_Slovenia&action=edit,https://en.wikipedia.org/wiki/8th_National_Assembly_of_Slovenia,,,,,1249160149,C,https://en.wikipedia.org/wiki/8th_National_Assembly_of_Slovenia,Slovenia,Slovenia,2.1
A. J. R. de Soysa,52888071.0,0.0,A. J. R. de Soysa,wikitext,en,en,ltr,2024-09-27T02:05:41Z,1187003494,4361.0,52888138.0,https://en.wikipedia.org/wiki/A._J._R._de_Soysa,https://en.wikipedia.org/w/index.php?title=A._J._R._de_Soysa&action=edit,https://en.wikipedia.org/wiki/A._J._R._de_Soysa,,,,,1187003494,Start,https://en.wikipedia.org/wiki/A._J._R._de_Soysa,Sri Lanka,Sri Lanka,22.7
A. R. F. Webber,6040733.0,0.0,A. R. F. Webber,wikitext,en,en,ltr,2024-10-05T14:25:41Z,1156355955,6009.0,10338570.0,https://en.wikipedia.org/wiki/A._R._F._Webber,https://en.wikipedia.org/w/index.php?title=A._R._F._Webber&action=edit,https://en.wikipedia.org/wiki/A._R._F._Webber,,,,,1156355955,Start,https://en.wikipedia.org/wiki/A._R._F._Webber,Guyana,Guyana,0.8
A. Wahab,51745938.0,0.0,A. Wahab,wikitext,en,en,ltr,2024-09-27T02:03:27Z,1213828687,1705.0,51811357.0,https://en.wikipedia.org/wiki/A._Wahab,https://en.wikipedia.org/w/index.php?title=A._Wahab&action=edit,https://en.wikipedia.org/wiki/A._Wahab,,,,,1213828687,Stub,https://en.wikipedia.org/wiki/A._Wahab,Indonesia,Indonesia,278.7
AKM Fazlul Haque (Jatiya Party politician),64433698.0,0.0,AKM Fazlul Haque (Jatiya Party politician),wikitext,en,en,ltr,2024-09-27T02:25:42Z,1245402550,2009.0,64433703.0,https://en.wikipedia.org/wiki/AKM_Fazlul_Haque_(Jatiya_Party_politician),https://en.wikipedia.org/w/index.php?title=AKM_Fazlul_Haque_(Jatiya_Party_politician)&action=edit,https://en.wikipedia.org/wiki/AKM_Fazlul_Haque_(Jatiya_Party_politician),,,,,1245402550,Stub,https://en.wikipedia.org/wiki/AKM_Fazlul_Haque_(Jatiya_Party_politician),Bangladesh,Bangladesh,173.5
AKM Fazlul Kabir Chowdhury,54988209.0,0.0,AKM Fazlul Kabir Chowdhury,wikitext,en,en,ltr,2024-09-27T02:09:23Z,1245380545,5126.0,54988368.0,https://en.wikipedia.org/wiki/AKM_Fazlul_Kabir_Chowdhury,https://en.wikipedia.org/w/index.php?title=AKM_Fazlul_Kabir_Chowdhury&action=edit,https://en.wikipedia.org/wiki/AKM_Fazlul_Kabir_Chowdhury,,,,,1245380545,Start,https://en.wikipedia.org/wiki/AKM_Fazlul_Kabir_Chowdhury,Bangladesh,Bangladesh,173.5
AKM Hafizuddin,70349044.0,0.0,AKM Hafizuddin,wikitext,en,en,ltr,2024-09-27T02:34:59Z,1246694478,4788.0,70349046.0,https://en.wikipedia.org/wiki/AKM_Hafizuddin,https://en.wikipedia.org/w/index.php?title=AKM_Hafizuddin&action=edit,https://en.wikipedia.org/wiki/AKM_Hafizuddin,,,,,1246694478,Stub,https://en.wikipedia.org/wiki/AKM_Hafizuddin,Bangladesh,Bangladesh,173.5
Abai Tasbolatov,64626956.0,0.0,Abai Tasbolatov,wikitext,en,en,ltr,2024-10-11T00:29:29Z,1243509983,7291.0,64630030.0,https://en.wikipedia.org/wiki/Abai_Tasbolatov,https://en.wikipedia.org/w/index.php?title=Abai_Tasbolatov&action=edit,https://en.wikipedia.org/wiki/Abai_Tasbolatov,,,,,1243509983,Start,https://en.wikipedia.org/wiki/Abai_Tasbolatov,Kazakhstan,Kazakhstan,19.9
Abakar Sabone,33422765.0,0.0,Abakar Sabone,wikitext,en,en,ltr,2024-10-05T14:33:14Z,1236990005,11512.0,33422770.0,https://en.wikipedia.org/wiki/Abakar_Sabone,https://en.wikipedia.org/w/index.php?title=Abakar_Sabone&action=edit,https://en.wikipedia.org/wiki/Abakar_Sabone,,,,,1236990005,C,https://en.wikipedia.org/wiki/Abakar_Sabone,Central African Republic,Central African Republic,6.2
